dimension,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,QC.1,QC.2,QC.3,QC.4,QC.5,QC.6,QC.7,CD.1,CD.2,CD.3,CD.4,CD.5,AS.1,AS.2,AS.3,AS.4,AS.5,AS.6,AS.7,AS.8,IS.1,IS.2,IS.3,IS.4,IS.5,IS.6
relevance,4,2,4,4,3,3,4,4,2,4,4,2,4,2,2,4,4,4,4,4,4,4,3,4,3,4,2,2,4,4,4,3,4,4
relevance,4,4,4,3,3,3,4,4,4,3,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,3,3,4,4,4,3,3,3,4
relevance,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,3,4,4,4,4,4,4
relevance,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4
relevance,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,3,3,4,3,3,4,4,4,3,4,4,3,3,3,3,3,3
relevance,2,3,4,2,4,4,4,4,4,4,4,4,3,3,3,4,4,4,2,4,2,4,3,4,3,4,4,4,2,4,2,4,4,4
relevance,4,1,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,2,4,4,4,4,4,4
relevance,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
relevance,4,3,3,3,3,3,4,4,3,3,4,4,3,2,3,3,4,3,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4
relevance,4,4,4,3,3,3,3,3,4,4,4,3,4,2,4,4,4,3,3,4,3,3,4,4,4,3,4,4,3,4,4,3,4,4
relevance,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
relevance,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4
relevance,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4
relevance,3,3,3,2,2,3,2,3,3,3,3,2,3,2,3,3,2,2,2,3,2,3,2,3,3,3,3,3,3,2,3,3,2,3
relevance,4,4,4,3,3,3,4,4,3,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4
relevance,3,4,4,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
relevance,3,4,4,3,1,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,2,4,4,4
relevance,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
relevance,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4
relevance,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
